S.No,data,type,sensedAt,id_sensor
1,200,co2-concentration,2025-06-17T05:02:49,66ce60b3fb392de5096acc24
2,29,temp,2025-06-17T05:02:49,66ce60b3fb392de5096acc24
3,50,humidity,2025-06-17T05:02:49,66ce60b3fb392de5096acc24
4,200,co2-concentration,2025-06-17T05:05:53,66ce60b3fb392de5096acc24
5,29,temp,2025-06-17T05:05:53,66ce60b3fb392de5096acc24
6,50,humidity,2025-06-17T05:05:53,66ce60b3fb392de5096acc24
7,200,co2-concentration,2025-06-17T05:08:55,66ce60b3fb392de5096acc24
8,29,temp,2025-06-17T05:08:55,66ce60b3fb392de5096acc24
9,50,humidity,2025-06-17T05:08:55,66ce60b3fb392de5096acc24
10,200,co2-concentration,2025-06-17T05:11:58,66ce60b3fb392de5096acc24
11,29,temp,2025-06-17T05:11:58,66ce60b3fb392de5096acc24
12,50,humidity,2025-06-17T05:11:58,66ce60b3fb392de5096acc24
13,200,co2-concentration,2025-06-17T05:15:00,66ce60b3fb392de5096acc24
14,29,temp,2025-06-17T05:15:00,66ce60b3fb392de5096acc24
15,50,humidity,2025-06-17T05:15:00,66ce60b3fb392de5096acc24
16,200,co2-concentration,2025-06-17T05:18:03,66ce60b3fb392de5096acc24
17,29,temp,2025-06-17T05:18:03,66ce60b3fb392de5096acc24
18,50,humidity,2025-06-17T05:18:03,66ce60b3fb392de5096acc24
19,200,co2-concentration,2025-06-17T05:21:05,66ce60b3fb392de5096acc24
20,29,temp,2025-06-17T05:21:05,66ce60b3fb392de5096acc24
21,50,humidity,2025-06-17T05:21:05,66ce60b3fb392de5096acc24
22,200,co2-concentration,2025-06-17T05:24:09,66ce60b3fb392de5096acc24
23,29,temp,2025-06-17T05:24:09,66ce60b3fb392de5096acc24
24,50,humidity,2025-06-17T05:24:09,66ce60b3fb392de5096acc24
25,200,co2-concentration,2025-06-17T05:27:12,66ce60b3fb392de5096acc24
26,29,temp,2025-06-17T05:27:12,66ce60b3fb392de5096acc24
27,50,humidity,2025-06-17T05:27:12,66ce60b3fb392de5096acc24
28,200,co2-concentration,2025-06-17T05:30:14,66ce60b3fb392de5096acc24
29,29,temp,2025-06-17T05:30:14,66ce60b3fb392de5096acc24
30,50,humidity,2025-06-17T05:30:14,66ce60b3fb392de5096acc24
31,200,co2-concentration,2025-06-17T05:36:26,66ce60b3fb392de5096acc24
32,29,temp,2025-06-17T05:36:26,66ce60b3fb392de5096acc24
33,50,humidity,2025-06-17T05:36:26,66ce60b3fb392de5096acc24
34,200,co2-concentration,2025-06-17T05:39:28,66ce60b3fb392de5096acc24
35,29,temp,2025-06-17T05:39:28,66ce60b3fb392de5096acc24
36,50,humidity,2025-06-17T05:39:28,66ce60b3fb392de5096acc24
37,200,co2-concentration,2025-06-17T05:42:31,66ce60b3fb392de5096acc24
38,29,temp,2025-06-17T05:42:31,66ce60b3fb392de5096acc24
39,50,humidity,2025-06-17T05:42:31,66ce60b3fb392de5096acc24
40,200,co2-concentration,2025-06-17T05:45:34,66ce60b3fb392de5096acc24
41,29,temp,2025-06-17T05:45:34,66ce60b3fb392de5096acc24
42,50,humidity,2025-06-17T05:45:34,66ce60b3fb392de5096acc24
43,200,co2-concentration,2025-06-17T05:48:36,66ce60b3fb392de5096acc24
44,29,temp,2025-06-17T05:48:36,66ce60b3fb392de5096acc24
45,50,humidity,2025-06-17T05:48:36,66ce60b3fb392de5096acc24
46,200,co2-concentration,2025-06-17T05:51:39,66ce60b3fb392de5096acc24
47,29,temp,2025-06-17T05:51:39,66ce60b3fb392de5096acc24
48,50,humidity,2025-06-17T05:51:39,66ce60b3fb392de5096acc24
49,200,co2-concentration,2025-06-17T05:54:41,66ce60b3fb392de5096acc24
50,29,temp,2025-06-17T05:54:41,66ce60b3fb392de5096acc24
51,50,humidity,2025-06-17T05:54:41,66ce60b3fb392de5096acc24
52,200,co2-concentration,2025-06-17T05:57:44,66ce60b3fb392de5096acc24
53,29,temp,2025-06-17T05:57:44,66ce60b3fb392de5096acc24
54,50,humidity,2025-06-17T05:57:44,66ce60b3fb392de5096acc24
55,200,co2-concentration,2025-06-17T06:00:48,66ce60b3fb392de5096acc24
56,29,temp,2025-06-17T06:00:48,66ce60b3fb392de5096acc24
57,50,humidity,2025-06-17T06:00:48,66ce60b3fb392de5096acc24
58,200,co2-concentration,2025-06-17T06:03:51,66ce60b3fb392de5096acc24
59,29,temp,2025-06-17T06:03:51,66ce60b3fb392de5096acc24
60,50,humidity,2025-06-17T06:03:51,66ce60b3fb392de5096acc24
61,200,co2-concentration,2025-06-17T06:06:54,66ce60b3fb392de5096acc24
62,29,temp,2025-06-17T06:06:54,66ce60b3fb392de5096acc24
63,50,humidity,2025-06-17T06:06:54,66ce60b3fb392de5096acc24
64,200,co2-concentration,2025-06-17T06:10:05,66ce60b3fb392de5096acc24
65,29,temp,2025-06-17T06:10:05,66ce60b3fb392de5096acc24
66,50,humidity,2025-06-17T06:10:05,66ce60b3fb392de5096acc24
67,200,co2-concentration,2025-06-17T06:13:07,66ce60b3fb392de5096acc24
68,29,temp,2025-06-17T06:13:07,66ce60b3fb392de5096acc24
69,50,humidity,2025-06-17T06:13:07,66ce60b3fb392de5096acc24
70,200,co2-concentration,2025-06-17T06:16:10,66ce60b3fb392de5096acc24
71,29,temp,2025-06-17T06:16:10,66ce60b3fb392de5096acc24
72,50,humidity,2025-06-17T06:16:10,66ce60b3fb392de5096acc24
73,200,co2-concentration,2025-06-17T06:19:12,66ce60b3fb392de5096acc24
74,29,temp,2025-06-17T06:19:12,66ce60b3fb392de5096acc24
75,50,humidity,2025-06-17T06:19:12,66ce60b3fb392de5096acc24
76,200,co2-concentration,2025-06-17T06:22:15,66ce60b3fb392de5096acc24
77,29,temp,2025-06-17T06:22:15,66ce60b3fb392de5096acc24
78,50,humidity,2025-06-17T06:22:15,66ce60b3fb392de5096acc24
79,200,co2-concentration,2025-06-17T06:25:17,66ce60b3fb392de5096acc24
80,29,temp,2025-06-17T06:25:17,66ce60b3fb392de5096acc24
81,50,humidity,2025-06-17T06:25:17,66ce60b3fb392de5096acc24
82,200,co2-concentration,2025-06-17T06:28:20,66ce60b3fb392de5096acc24
83,29,temp,2025-06-17T06:28:20,66ce60b3fb392de5096acc24
84,50,humidity,2025-06-17T06:28:20,66ce60b3fb392de5096acc24
85,200,co2-concentration,2025-06-17T06:31:23,66ce60b3fb392de5096acc24
86,29,temp,2025-06-17T06:31:23,66ce60b3fb392de5096acc24
87,50,humidity,2025-06-17T06:31:23,66ce60b3fb392de5096acc24
88,200,co2-concentration,2025-06-17T06:34:25,66ce60b3fb392de5096acc24
89,29,temp,2025-06-17T06:34:25,66ce60b3fb392de5096acc24
90,50,humidity,2025-06-17T06:34:25,66ce60b3fb392de5096acc24
91,200,co2-concentration,2025-06-17T06:37:28,66ce60b3fb392de5096acc24
92,29,temp,2025-06-17T06:37:28,66ce60b3fb392de5096acc24
93,50,humidity,2025-06-17T06:37:28,66ce60b3fb392de5096acc24
94,200,co2-concentration,2025-06-17T06:43:39,66ce60b3fb392de5096acc24
95,29,temp,2025-06-17T06:43:39,66ce60b3fb392de5096acc24
96,50,humidity,2025-06-17T06:43:39,66ce60b3fb392de5096acc24
