S.No,data,type,sensedAt,id_sensor
1,2574.69,co2-concentration,2025-06-17T05:00:42,66ce6057fb392de5096aca27
2,30,temp,2025-06-17T05:00:42,66ce6057fb392de5096aca27
3,53,humidity,2025-06-17T05:00:42,66ce6057fb392de5096aca27
4,3440.99,co2-concentration,2025-06-17T05:03:44,66ce6057fb392de5096aca27
5,30,temp,2025-06-17T05:03:44,66ce6057fb392de5096aca27
6,53,humidity,2025-06-17T05:03:44,66ce6057fb392de5096aca27
7,3440.99,co2-concentration,2025-06-17T05:06:47,66ce6057fb392de5096aca27
8,30,temp,2025-06-17T05:06:47,66ce6057fb392de5096aca27
9,53,humidity,2025-06-17T05:06:47,66ce6057fb392de5096aca27
10,2574.69,co2-concentration,2025-06-17T05:09:49,66ce6057fb392de5096aca27
11,30,temp,2025-06-17T05:09:49,66ce6057fb392de5096aca27
12,53,humidity,2025-06-17T05:09:49,66ce6057fb392de5096aca27
13,3440.99,co2-concentration,2025-06-17T05:12:51,66ce6057fb392de5096aca27
14,30,temp,2025-06-17T05:12:51,66ce6057fb392de5096aca27
15,53,humidity,2025-06-17T05:12:51,66ce6057fb392de5096aca27
16,3440.99,co2-concentration,2025-06-17T05:15:54,66ce6057fb392de5096aca27
17,30,temp,2025-06-17T05:15:54,66ce6057fb392de5096aca27
18,53,humidity,2025-06-17T05:15:54,66ce6057fb392de5096aca27
19,3440.99,co2-concentration,2025-06-17T05:18:56,66ce6057fb392de5096aca27
20,30,temp,2025-06-17T05:18:56,66ce6057fb392de5096aca27
21,53,humidity,2025-06-17T05:18:56,66ce6057fb392de5096aca27
22,2753.83,co2-concentration,2025-06-17T05:21:58,66ce6057fb392de5096aca27
23,30,temp,2025-06-17T05:21:58,66ce6057fb392de5096aca27
24,53,humidity,2025-06-17T05:21:58,66ce6057fb392de5096aca27
25,3440.99,co2-concentration,2025-06-17T05:25:01,66ce6057fb392de5096aca27
26,30,temp,2025-06-17T05:25:01,66ce6057fb392de5096aca27
27,53,humidity,2025-06-17T05:25:01,66ce6057fb392de5096aca27
28,3440.99,co2-concentration,2025-06-17T05:28:03,66ce6057fb392de5096aca27
29,30,temp,2025-06-17T05:28:03,66ce6057fb392de5096aca27
30,53,humidity,2025-06-17T05:28:03,66ce6057fb392de5096aca27
31,3440.99,co2-concentration,2025-06-17T05:31:06,66ce6057fb392de5096aca27
32,30,temp,2025-06-17T05:31:06,66ce6057fb392de5096aca27
33,53,humidity,2025-06-17T05:31:06,66ce6057fb392de5096aca27
34,3336.96,co2-concentration,2025-06-17T05:34:08,66ce6057fb392de5096aca27
35,30,temp,2025-06-17T05:34:08,66ce6057fb392de5096aca27
36,53,humidity,2025-06-17T05:34:08,66ce6057fb392de5096aca27
37,3440.99,co2-concentration,2025-06-17T05:37:10,66ce6057fb392de5096aca27
38,30,temp,2025-06-17T05:37:10,66ce6057fb392de5096aca27
39,53,humidity,2025-06-17T05:37:10,66ce6057fb392de5096aca27
40,3440.99,co2-concentration,2025-06-17T05:40:13,66ce6057fb392de5096aca27
41,30,temp,2025-06-17T05:40:13,66ce6057fb392de5096aca27
42,53,humidity,2025-06-17T05:40:13,66ce6057fb392de5096aca27
43,3440.99,co2-concentration,2025-06-17T05:43:15,66ce6057fb392de5096aca27
44,30,temp,2025-06-17T05:43:15,66ce6057fb392de5096aca27
45,53,humidity,2025-06-17T05:43:15,66ce6057fb392de5096aca27
46,3440.99,co2-concentration,2025-06-17T05:46:17,66ce6057fb392de5096aca27
47,30,temp,2025-06-17T05:46:17,66ce6057fb392de5096aca27
48,53,humidity,2025-06-17T05:46:17,66ce6057fb392de5096aca27
49,3234.91,co2-concentration,2025-06-17T05:49:20,66ce6057fb392de5096aca27
50,30,temp,2025-06-17T05:49:20,66ce6057fb392de5096aca27
51,53,humidity,2025-06-17T05:49:20,66ce6057fb392de5096aca27
52,3336.96,co2-concentration,2025-06-17T05:52:22,66ce6057fb392de5096aca27
53,30,temp,2025-06-17T05:52:22,66ce6057fb392de5096aca27
54,53,humidity,2025-06-17T05:52:22,66ce6057fb392de5096aca27
55,3336.96,co2-concentration,2025-06-17T05:55:24,66ce6057fb392de5096aca27
56,30,temp,2025-06-17T05:55:24,66ce6057fb392de5096aca27
57,53,humidity,2025-06-17T05:55:24,66ce6057fb392de5096aca27
58,3440.99,co2-concentration,2025-06-17T05:58:27,66ce6057fb392de5096aca27
59,30,temp,2025-06-17T05:58:27,66ce6057fb392de5096aca27
60,53,humidity,2025-06-17T05:58:27,66ce6057fb392de5096aca27
61,3336.96,co2-concentration,2025-06-17T06:01:29,66ce6057fb392de5096aca27
62,30,temp,2025-06-17T06:01:29,66ce6057fb392de5096aca27
63,53,humidity,2025-06-17T06:01:29,66ce6057fb392de5096aca27
64,3440.99,co2-concentration,2025-06-17T06:04:32,66ce6057fb392de5096aca27
65,30,temp,2025-06-17T06:04:32,66ce6057fb392de5096aca27
66,53,humidity,2025-06-17T06:04:32,66ce6057fb392de5096aca27
67,3440.99,co2-concentration,2025-06-17T06:07:34,66ce6057fb392de5096aca27
68,30,temp,2025-06-17T06:07:34,66ce6057fb392de5096aca27
69,53,humidity,2025-06-17T06:07:34,66ce6057fb392de5096aca27
70,3234.91,co2-concentration,2025-06-17T06:10:36,66ce6057fb392de5096aca27
71,30,temp,2025-06-17T06:10:36,66ce6057fb392de5096aca27
72,53,humidity,2025-06-17T06:10:36,66ce6057fb392de5096aca27
73,3336.96,co2-concentration,2025-06-17T06:13:38,66ce6057fb392de5096aca27
74,30,temp,2025-06-17T06:13:38,66ce6057fb392de5096aca27
75,53,humidity,2025-06-17T06:13:38,66ce6057fb392de5096aca27
76,3440.99,co2-concentration,2025-06-17T06:16:41,66ce6057fb392de5096aca27
77,30,temp,2025-06-17T06:16:41,66ce6057fb392de5096aca27
78,53,humidity,2025-06-17T06:16:41,66ce6057fb392de5096aca27
79,3440.99,co2-concentration,2025-06-17T06:19:43,66ce6057fb392de5096aca27
80,30,temp,2025-06-17T06:19:43,66ce6057fb392de5096aca27
81,53,humidity,2025-06-17T06:19:43,66ce6057fb392de5096aca27
82,2663.33,co2-concentration,2025-06-17T06:22:45,66ce6057fb392de5096aca27
83,30,temp,2025-06-17T06:22:45,66ce6057fb392de5096aca27
84,53,humidity,2025-06-17T06:22:45,66ce6057fb392de5096aca27
